Student_ID,CGPA,Internship_Months,Projects,Aptitude_Score,Placement_Package_LPA
114,9.07,12,1,49,9.49
115,8.41,11,6,82,11.82
116,9.31,9,4,47,11.18
117,9.05,6,1,67,9.97
118,6.71,8,6,81,10.04
119,9.39,3,5,81,11.59
120,8.05,12,3,54,9.57
121,9.07,3,3,54,8.42
122,9.41,0,1,63,8.5
123,7.21,7,4,61,8.29
124,6.42,11,4,65,9.08
125,6.87,2,5,58,8.49
126,7.62,6,1,53,8.91
127,9.11,11,3,90,11.73
128,9.27,1,4,45,9.09
129,6.03,1,1,95,8.37
130,7.94,6,4,89,9.47
131,7.59,5,6,57,9.66
132,6.84,2,4,48,8.18
133,6.46,8,3,45,7.26
134,7.28,9,2,93,10.49
135,9.58,12,5,84,12.51
136,7.23,5,5,76,9.52
137,7.97,9,3,78,10.47
138,8.67,9,4,72,11.73
139,7.38,5,1,75,8.73
140,9.69,0,4,52,9.7
141,9.66,3,3,83,10.53
142,6.96,9,5,70,9.42
143,7.89,5,4,78,10.3
144,7.14,5,5,47,8.25
145,7.08,10,1,94,9.75
146,6.14,11,5,56,8.81
147,8.32,4,5,45,9.43
148,7.91,0,2,88,9.28
149,6.2,7,2,49,7.96
150,7.06,4,6,74,9.46
151,9.45,11,2,74,10.84
152,6.91,11,5,61,9.26
153,6.55,11,3,92,9.79
154,7.86,4,5,91,10.69
155,9.75,6,3,67,10.93
156,6.92,3,3,59,7.7
157,8.55,5,2,81,10.29
158,8.89,12,4,65,11.57
159,6.9,3,1,58,7.69
160,8.77,2,2,46,9.31
161,7.4,6,2,55,8.02
162,8.4,7,4,95,10.53
163,8.41,3,1,83,8.56
164,8.04,12,5,82,11.96
165,6.34,1,6,78,9.3
166,9.17,11,6,82,12.16
167,7.22,9,5,94,10.94
168,6.71,2,2,78,7.74
169,6.15,0,1,62,7.9
170,8.25,7,2,74,9.76
171,8.57,2,3,59,9.11
172,6.06,11,2,71,8.98
173,7.95,9,2,95,10.7
174,6.86,6,5,78,9.76
175,8.45,9,5,82,10.84
176,6.66,4,5,77,9.47
177,8.63,9,6,68,11.95
178,7.47,4,3,59,9.2
179,9.56,6,5,74,11.99
180,6.52,8,1,86,8.61
181,7.3,11,6,95,10.97
182,6.43,4,4,61,8.21
183,9.51,0,1,49,8.55
184,9.33,9,1,73,10.82
185,6.98,9,5,48,8.29
186,8.51,0,4,54,9.58
187,9.11,1,4,61,9.58
188,8.11,5,6,54,9.6
189,8.01,8,4,61,9.32
190,6.92,7,3,64,8.02
191,6.35,12,5,68,10.07
192,9.41,4,4,49,9.81
193,9.42,0,6,78,10.3
194,8.41,12,3,50,9.26
195,7.29,6,2,46,7.83
196,7.33,4,2,57,8.9
197,8.76,5,3,87,10.41
198,9.41,12,6,87,11.96
199,9.37,6,3,92,11.11
200,8.96,2,5,55,9.62
