area_sqft,bedrooms,bathrooms,age_years,distance_to_city_km,balcony_count,parking_spaces,floor_number,garden_area_sqft,noise_feature_1,noise_feature_2,noise_feature_3,price_lakh
859,3,1,12,27.8,1,1,9,782,0.774,-0.714,2.273,43.84
1450,5,1,10,14.6,4,0,5,834,-1.057,-1.112,-0.096,128.27
2491,2,3,26,11.9,4,2,9,424,1.32,-1.254,-1.942,166.38
1653,1,1,7,16.7,1,0,11,392,-0.01,0.96,-0.337,101.08
1055,2,4,8,25.9,1,1,13,163,-0.846,0.829,-1.726,67.05
1881,5,4,9,19.9,4,1,7,435,0.911,-0.776,0.611,156.99
1195,3,3,28,7.8,2,0,15,106,-1.374,1.178,1.309,86.74
2982,1,4,29,23.5,2,0,13,887,-0.547,0.101,0.696,166.2
2504,2,4,15,4.9,0,2,8,441,-0.0,-0.422,0.32,211.22
1829,3,2,10,5.8,1,0,2,985,-0.121,-0.693,-0.645,161.66
1030,5,4,20,18.8,2,2,11,521,-2.009,-0.778,1.576,106.51
2037,5,2,13,7.9,3,2,8,157,-0.921,0.473,0.753,179.16
2599,5,1,4,21.4,3,0,1,636,0.168,0.65,0.284,169.79
1440,4,3,4,11.1,1,1,6,227,-1.32,0.239,0.205,135.52
1828,4,4,7,9.0,3,2,10,953,1.266,-2.05,0.112,179.01
2511,2,1,7,30.0,0,2,0,976,0.495,0.296,0.452,160.01
2469,5,1,9,2.2,3,0,11,216,-0.514,0.565,-0.613,205.75
842,1,2,27,19.7,0,0,15,330,-0.22,-0.669,1.525,37.65
639,5,2,9,2.1,4,1,2,954,1.862,0.043,0.152,110.19
2013,1,1,14,23.0,3,0,4,759,0.936,-1.864,0.6,112.24
1878,1,3,20,7.7,3,2,5,622,0.38,-1.23,-0.434,119.63
503,1,2,1,3.6,2,0,8,414,-1.416,-0.324,0.375,56.39
2431,2,4,21,19.8,4,2,12,587,1.63,-0.31,-2.282,185.81
1255,1,2,21,22.2,1,0,11,152,1.052,0.352,-1.118,69.81
1746,5,4,8,20.7,1,0,4,985,-0.148,-1.187,-0.031,160.45
762,4,2,25,2.5,0,0,5,422,-0.55,-0.341,-1.322,80.21
2813,3,3,12,9.5,3,0,0,55,-0.188,-0.49,2.439,213.81
1611,5,3,21,14.1,3,1,11,460,-1.202,0.528,-1.668,129.52
1538,1,3,17,9.3,3,2,3,157,-0.471,1.421,0.346,95.63
2522,2,4,0,24.5,2,1,7,258,0.763,1.721,1.656,174.47
1722,3,4,22,4.8,1,0,14,542,-1.808,-1.568,0.481,150.42
2688,3,2,0,18.8,3,1,12,127,-0.314,-0.048,-0.31,193.76
938,3,4,14,29.7,4,0,2,212,0.114,-1.113,-0.552,84.62
2402,3,2,30,27.2,1,2,10,45,0.104,-0.065,0.673,140.44
1367,4,2,25,7.4,4,2,5,674,-1.179,0.423,-0.8,122.39
599,3,4,20,1.0,4,1,0,887,-1.182,0.081,-0.119,108.52
2741,2,3,22,29.4,0,1,0,604,1.089,-0.049,0.691,170.5
516,1,3,15,26.6,0,2,2,140,-1.225,1.483,-0.308,25.1
2169,5,3,28,27.7,2,0,2,797,1.009,0.721,0.088,132.61
2908,2,4,26,13.0,2,0,2,453,-0.482,-0.273,-0.304,181.8
1633,2,2,4,22.6,2,2,7,138,1.08,0.024,-0.97,111.35
1610,3,2,30,7.2,0,1,8,778,-0.421,0.871,1.189,110.73
546,1,2,5,12.4,3,0,1,579,-1.166,0.61,1.393,70.11
771,4,1,19,25.7,1,0,0,241,0.857,-0.425,-0.317,26.48
2844,2,1,13,4.7,1,2,10,405,-0.017,-1.775,-0.266,194.71
2292,4,3,4,26.9,0,1,9,353,1.449,-1.185,-0.178,152.88
1943,4,4,14,15.4,2,0,7,477,0.892,0.146,0.539,160.73
1479,4,4,6,13.4,2,1,5,68,-0.229,-1.787,-0.905,147.44
1336,2,3,11,9.9,1,1,11,286,-0.45,-0.152,-0.089,105.19
2010,2,2,27,27.6,3,1,8,603,0.023,-0.454,0.263,114.94
2608,2,4,2,16.0,3,0,0,414,0.19,0.999,0.642,191.05
821,4,3,21,24.3,3,1,2,342,-0.882,-1.318,-2.781,68.06
1266,2,3,18,25.9,4,0,5,514,0.842,-1.932,0.403,74.54
2496,2,4,20,27.7,0,2,9,162,-0.397,-0.42,0.346,162.44
823,3,2,30,9.8,1,0,4,340,-0.423,0.635,1.008,62.68
1319,2,4,28,10.9,4,0,13,571,-0.541,1.07,-0.526,120.84
1498,1,4,19,18.3,2,2,4,852,0.231,-0.909,-0.518,121.31
588,1,2,2,13.8,0,0,1,521,-0.692,0.47,1.203,55.39
2490,5,3,26,28.1,0,0,15,250,0.135,-1.111,-1.563,135.25
912,3,1,20,12.5,3,2,12,459,2.767,-0.749,1.629,56.24
1888,4,2,8,14.9,2,2,14,666,-0.054,0.568,2.556,166.72
1843,1,1,0,18.9,4,0,3,868,-0.434,0.718,0.477,113.38
840,5,3,29,12.7,1,0,15,139,-1.668,-0.999,0.814,84.89
1901,3,3,15,29.8,0,0,14,854,0.05,0.475,-1.49,111.19
924,3,4,6,3.9,4,2,5,597,-1.109,-1.868,-0.695,128.68
2606,2,2,8,7.4,3,0,11,470,-0.376,-0.203,1.058,197.68
577,1,4,26,10.4,2,0,8,598,0.152,-1.134,0.362,34.04
2556,1,1,8,5.3,0,1,4,910,-1.731,-0.808,-0.181,161.12
890,3,4,15,9.2,4,1,2,665,0.157,-1.276,0.233,82.22
1746,5,4,5,23.6,0,0,8,411,0.305,0.554,0.507,152.16
1722,2,3,22,16.2,0,2,9,396,-1.297,0.554,-0.293,96.44
1052,2,1,21,2.0,0,2,3,98,-0.392,-0.691,-0.029,77.42
2494,4,3,22,29.5,1,0,10,484,-1.831,0.376,-0.036,163.21
960,3,3,0,18.9,3,2,6,555,1.576,0.261,-1.052,125.06
2014,5,1,20,2.7,4,0,2,37,0.331,-0.128,0.324,169.13
1135,3,3,12,20.2,2,0,9,771,-0.18,2.158,1.804,106.64
2021,2,4,25,12.0,4,2,8,205,-0.163,-0.841,1.732,152.89
635,1,1,0,4.9,3,0,0,302,1.131,0.014,-1.476,66.16
1952,4,4,27,17.3,4,2,5,996,-0.094,-0.382,0.571,154.05
1263,2,4,8,22.1,3,1,0,519,0.331,-0.372,0.676,97.62
2283,4,4,16,20.5,0,0,7,609,1.519,0.159,-0.411,182.41
1730,1,4,5,8.2,4,1,1,961,-0.346,-0.294,-0.964,151.66
1075,1,1,13,16.2,1,0,6,519,-1.093,-0.86,-1.321,63.23
981,2,2,6,16.6,1,2,1,728,-0.825,0.124,-0.445,74.33
517,5,4,6,21.8,0,1,15,346,1.429,1.182,0.35,75.84
1612,4,3,24,11.4,2,1,14,586,0.091,0.943,-0.158,157.31
1250,3,2,24,24.1,0,1,6,826,-0.502,0.203,-0.611,74.65
697,3,1,4,19.2,3,1,12,58,0.974,-0.735,-1.249,77.49
1654,1,3,4,2.1,4,2,8,528,0.998,0.186,0.351,140.07
2338,3,4,0,16.8,1,0,0,377,-0.476,1.085,1.067,192.89
1057,4,3,17,26.0,3,2,8,413,-0.972,1.191,-0.927,92.35
1431,3,1,9,17.5,0,1,7,818,-1.571,0.36,0.448,97.19
2054,1,1,16,6.1,1,0,11,485,-1.794,-0.364,-1.879,137.02
1186,3,3,7,15.8,3,1,11,568,-0.265,-0.203,-0.657,90.49
573,2,1,27,23.0,0,1,0,375,-0.893,0.772,0.73,23.28
2231,1,2,14,4.2,0,0,0,137,1.858,0.686,-1.118,157.87
2175,4,4,13,24.7,2,1,8,801,0.059,-1.758,-0.604,168.7
